# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
36912,  0.05,  2,  10, 23.70, 31.52, -111.99, 20.53, -165.91, -3.37, -8.36, -3.37, 1
37908,  0.06,  2,  12, 23.70, 31.27, -109.94, 21.04, -163.12, -3.45, -8.43, -3.06, 1
38904,  0.07,  1,  13, 23.70, 31.10, -107.51, 17.19, -162.60, -2.86, -8.83, -2.79, 1
39900,  0.07,  1,  14, 23.70, 31.18, -107.30, 15.23, 0.00, -2.55, -8.94, -2.79, 1
40896,  0.07,  0,  14, 23.70, 30.85, -107.51, 18.73, -166.85, -3.14, -8.83, -2.79, 1
41892,  0.07,  0,  14, 23.70, 31.02, -107.28, 18.32, -165.90, -3.06, -8.83, -2.75, 1
42888,  0.09,  3,  17, 23.70, 31.10, -105.09, 17.04, -159.95, -2.86, -9.02, -2.43, 1
43884,  0.10,  1,  18, 23.70, 31.18, -106.65, 17.12, -162.55, -2.82, -8.79, -2.63, 1
44879,  0.10,  0,  18, 23.70, 30.68, -105.75, 17.86, -162.53, -2.98, -8.90, -2.51, 1
45875,  0.10,  0,  18, 23.60, 30.52, -105.51, 16.99, -162.99, -2.82, -8.90, -2.47, 1
46871,  0.10,  0,  18, 23.70, 30.93, -106.65, 17.56, -165.29, -2.90, -8.79, -2.63, 1
47867,  0.10,  0,  18, 23.70, 31.18, -104.98, 16.07, -162.67, -2.67, -8.94, -2.39, 1
48863,  0.10,  0,  18, 23.60, 30.85, -104.51, 17.66, -163.93, -2.94, -8.94, -2.31, 1
49859,  0.10,  0,  18, 23.60, 30.93, -103.80, 17.49, -162.19, -2.90, -8.94, -2.20, 1
50855,  0.10,  0,  18, 23.60, 32.19, -104.45, 17.16, -162.18, -2.86, -8.98, -2.31, 1
51851,  0.10,  1,  19, 23.60, 31.44, -104.96, 16.03, -164.21, -2.71, -9.10, -2.43, 1
52847,  0.11,  1,  20, 23.60, 31.27, -100.60, 15.43, -159.13, -2.59, -9.22, -1.73, 1
53845,  0.42,  54,  74, 23.60, 31.77, -102.01, 17.12, -162.50, -2.90, -9.22, -1.96, 1
55845,  0.00,  0,  0, 23.60, 30.77, -94.66, 15.08, -156.61, -2.47, -9.14, -0.75, 1
56835,  21.20,  0,  3720, 23.60, 31.60, -95.52, 15.43, -158.36, -2.59, -9.34, -0.90, 1
57832,  22.16,  15,  3888, 23.60, 30.93, -96.02, 14.58, -157.29, -2.43, -9.30, -0.98, 1
58840,  406.98,  1190,  71400, 23.60, 31.18, -95.52, 17.41, -157.41, -2.94, -9.34, -0.90, 1
59827,  235.63,  689,  41340, 23.60, 31.02, -95.73, 13.35, -156.56, -2.24, -9.38, -0.94, 1
60819,  35.91,  0,  6300, 23.60, 31.52, -95.52, 14.09, -155.91, -2.35, -9.34, -0.90, 1
61837,  675.10,  1974,  118440, 23.60, 30.85, -94.78, 14.27, -154.75, -2.39, -9.38, -0.78, 1
62852,  1405.62,  4110,  246600, 23.60, 30.93, -95.04, 15.00, -155.68, -2.51, -9.34, -0.82, 1
63814,  1142.96,  3342,  200520, 23.60, 31.10, -95.02, 14.94, -154.86, -2.51, -9.38, -0.82, 1
64802,  52.32,  0,  9180, 23.60, 31.02, -95.69, 15.87, -157.38, -2.59, -9.06, -0.90, 1
65798,  52.32,  0,  9180, 23.60, 30.85, -96.07, 17.17, -156.89, -2.86, -9.22, -0.98, 1
66794,  34.88,  0,  6120, 23.60, 30.93, -95.71, 15.08, -156.58, -2.55, -9.41, -0.94, 1
67790,  17.51,  1,  3072, 23.60, 31.02, -96.86, 14.11, -160.11, -2.39, -9.45, -1.14, 1
68785,  9.22,  1,  1619, 23.60, 30.93, -94.31, 14.73, -156.47, -2.47, -9.38, -0.71, 1
69781,  9.23,  2,  1621, 23.60, 31.10, -102.45, 15.25, -162.12, -2.63, -9.41, -2.08, 1
70776,  9.23,  0,  1621, 23.60, 30.77, -104.21, 19.36, -162.72, -3.26, -8.98, -2.28, 1
